Population,Individual,Song,NMDS1,NMDS2,X
Lundy_M,L23_M_A,"L23_20260404_233000_4_MA,3",-1.04707042578987,0.0511491544458823,NA
Lundy_M,L23_M_A,"L23_20260404_233000_5_MA,1",-1.1480281804506,0.323599489278043,NA
Lundy_M,L23_M_A,"L23_20260404_233000_5_MA,2",-0.976775268876201,0.203808707237929,NA
Lundy_M,L23_M_A,"L23_20260404_233000_5_MA,3",-0.720134794733379,0.31070191711975,NA
Lundy_M,L23_M_A,"L23_20260404_233000_5_MA,4",-0.587434935958536,-0.109411412811557,NA
Lundy_M,L23_M_A,"L23_20260404_233000_11_MA,1",-0.323102365032652,0.765378523503764,NA
Lundy_M,L23_M_A,"L23_20260404_233000_11_MA,2",-0.460034199096323,0.105778040386013,NA
Lundy_M,L23_M_A,"L23_20260404_233000_9_MA,1",-0.532185510995452,0.389397691044545,NA
Lundy_M,L23_M_A,"L23_20260404_233000_9_MA,2",-0.579118816507077,-0.322039524948145,NA
Lundy_M,L23_M_A,"L23_20260404_233000_8_MA,1",-0.65352344496088,0.609504925541248,NA
Lundy_M,L23_M_A,"L23_20260404_233000_8_MA,2",-0.382208108078286,-0.0898910657243064,NA
Lundy_M,L23_M_A,"L23_20260404_233000_7_MA,1",-0.390185843063267,0.0859699520127453,NA
Lundy_M,L23_M_A,"L23_20260404_233000_7_MA,2",-0.674343380457178,-0.308629651120036,NA
Lundy_M,L23_M_A,"L23_20260404_233000_10_MA,1",-0.787717231820362,0.288803083031234,NA
